"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"WaxEster","WaxEster 26:3 +2O",3711338.53440972,52793941.1361901,58725167.8831784,27558780.4457048,41249102.4930017,33582934.2103016,21940604.6957851,19840932.7189508,21186250.271967
"WaxEster","WaxEster 26:4 +1O",396189.760852206,5130008.83562202,4551550.42260921,2682798.45027218,3942549.55385716,3021273.41234173,2159918.6293197,1938869.58241799,1489647.1256198
"WaxEster","WaxEster 28:3 +3O",1699743.90923582,12770508.1014682,12515696.6001075,6158760.18876147,8868482.31867691,8475776.07732188,5495001.98785791,7222456.05316273,4774636.91450446
"WaxEster","WaxEster 28:4 +1O",4335437.90169513,39248400.6513921,41988221.1893255,23428272.9103843,35292313.6115074,23909471.2157299,21876497.811798,21431907.2804538,16145912.3302019
"WaxEster","WaxEster 28:5",4521071.33139351,32066553.9497821,33357356.3215556,16544563.9844241,26932194.1553981,20568753.7733951,15018036.1895752,20202717.3927038,15012457.7060454
"WaxEster","WaxEster 28:5 +1O",2387788.44634913,15489745.7181828,16468354.8882486,9051101.03095205,11892022.5491494,10550534.5600625,8499767.99402922,8753836.12498064,6825048.29082726
"WaxEster","WaxEster 28:5 +2O",646295.772998534,6088052.81082346,4206518.75830947,2516369.22130367,7638889.57074962,4279260.63313165,2429568.47672802,1356330.97982181,1084279.44207281
"WaxEster","WaxEster 28:5 +3O",141621.468118832,3288411.33815709,2768872.14425444,1101986.72123329,2202969.09322115,1916596.84528585,1458046.91507328,1350443.07800901,1246292.36320577
"WaxEster","WaxEster 28:6 +3O",1289706.61135437,3175152.723241,3950987.6360896,2504933.94192203,1678834.61371737,2573605.91912253,563530.364116499,2024990.66733642,1504535.01401255
"WaxEster","WaxEster 30:0 +3O",831728.598255605,11525565.0877208,8509737.67557304,5221251.41433133,15154083.2870641,6936622.81428585,6960937.18340045,6542223.7673141,3033802.62025608
"WaxEster","WaxEster 30:1 +3O",2078566.07028195,5108310.2060723,17642969.3474791,2827529.15090222,6228584.5905742,7818952.12356149,848249.957670932,16183321.344024,3906304.96352507
